0,0,1,1,4
0,1,1,1,5
0,2,1,1,5
0,3,1,1,4
0,4,1,1,4
0,5,1,1,4
1,0,1,1,4
1,1,1,1,5
1,2,1,1,6
1,3,1,1,5
1,4,1,1,5
1,5,1,1,5
1,6,1,1,5
1,7,1,1,5
2,0,1,1,5
2,1,1,1,6
2,2,1,1,6
2,3,1,1,6
2,4,1,1,6
2,5,1,1,5
2,6,1,1,6
2,7,1,1,6
3,0,1,1,4
3,1,1,1,4
3,2,1,1,4
3,3,1,1,5
3,4,1,1,6
3,5,1,1,5
3,6,1,1,4
3,7,1,1,4
4,0,1,1,5
4,1,1,1,6
4,2,1,1,4
4,3,1,1,5
4,4,1,1,6
4,5,1,1,4
4,6,1,1,5
4,7,1,1,5
5,0,1,1,4
5,1,1,1,5
5,2,1,1,5
5,3,1,1,5
5,4,1,1,5
5,5,1,1,5
5,6,1,1,5
5,7,1,1,4
6,0,1,1,5
6,1,1,1,6
6,2,1,1,5
6,3,1,1,6
6,4,1,1,5
6,5,1,1,4
6,6,1,1,6
6,7,1,1,5
7,0,1,1,4
7,1,1,1,4
7,2,1,1,5
7,3,1,1,6
7,4,1,1,5
7,5,1,1,5
7,6,1,1,5
7,7,1,1,4
8,0,1,1,4
8,1,1,1,4
8,2,1,1,4
8,3,1,1,5
8,4,1,1,6
8,5,1,1,5
8,6,1,1,5
8,7,1,1,5
9,0,1,1,4
9,1,1,1,4
9,2,1,1,5
9,3,1,1,5
9,4,1,1,6
9,5,1,1,6
9,6,1,1,4
9,7,1,1,4
10,0,1,1,4
10,1,1,1,4
10,2,1,1,5
10,3,1,1,6
10,5,1,1,5
10,6,1,1,5
10,7,1,1,5
11,0,1,1,5
11,1,1,1,5
11,2,1,1,5
11,3,1,1,6
11,4,1,1,5
11,5,1,1,5
11,6,1,1,5
11,7,1,1,4
12,0,1,1,4
12,1,1,1,5
12,2,1,1,5
12,3,1,1,5
12,4,1,1,5
12,5,1,1,5
12,6,1,1,5
12,7,1,1,4
13,0,1,1,5
13,1,1,1,6
13,2,1,1,5
13,3,1,1,5
13,4,1,1,5
13,5,1,1,6
13,6,1,1,6
13,7,1,1,4
14,0,1,1,4
14,1,1,1,5
14,2,1,1,5
14,3,1,1,5
14,4,1,1,5
14,5,1,1,5
14,6,1,1,5
14,7,1,1,4
15,0,1,1,4
15,1,1,1,4
15,2,1,1,4
15,3,1,1,5
15,4,1,1,4
15,5,1,1,4
15,6,1,1,5
15,7,1,1,4
0,6,1,1,5
0,7,1,1,5
10,4,1,1,6
