15,0,1,1,4
1,1,1,1,4
3,1,1,1,5
6,1,1,1,4
7,1,1,1,5
14,1,1,1,5
4,2,1,1,6
7,2,1,1,6
8,2,1,1,6
9,2,1,1,4
10,2,1,1,3
11,2,1,1,4
13,2,1,1,5
14,2,1,1,4
5,3,1,1,5
2,3,1,1,4
6,3,1,1,5
7,3,1,1,5
10,3,1,1,5
12,3,1,1,5
15,3,1,1,3
1,4,1,1,3
5,4,1,1,4
6,4,1,1,4
7,4,1,1,5
9,4,1,1,5
11,4,1,1,6
12,4,1,1,5
1,5,1,1,4
2,5,1,1,4
3,5,1,1,4
4,5,1,1,3
7,5,1,1,5
10,5,1,1,4
11,5,1,1,5
13,5,1,1,5
12,5,1,1,5
15,5,1,1,4
14,5,1,1,4
1,6,1,1,4
2,6,1,1,5
3,6,1,1,6
5,6,1,1,6
6,6,1,1,6
9,6,1,1,3
12,6,1,1,4
13,6,1,1,6
15,6,1,1,5
2,7,1,1,4
3,7,1,1,5
6,7,1,1,5
5,7,1,1,5
8,7,1,1,4
15,7,1,1,4
14,7,1,1,4
13,7,1,1,4
