0,1,1,1,4
0,7,1,1,4
0,5,1,1,4
1,1,1,1,5
1,2,1,1,5
1,5,1,1,5
1,6,1,1,6
1,7,1,1,4
2,1,1,1,5
2,2,1,1,6
2,5,1,1,6
2,7,1,1,5
3,1,1,1,4
3,2,1,1,5
3,5,1,1,6
3,6,1,1,6
4,1,1,1,3
4,2,1,1,5
4,4,1,1,4
4,5,1,1,5
5,0,1,1,4
5,1,1,1,4
5,2,1,1,4
5,3,1,1,5
5,5,1,1,6
6,0,1,1,4
6,1,1,1,5
6,2,1,1,5
6,3,1,1,5
6,4,1,1,4
6,5,1,1,5
6,6,1,1,6
6,7,1,1,4
7,1,1,1,5
7,2,1,1,5
7,3,1,1,5
7,4,1,1,5
7,5,1,1,6
7,6,1,1,6
7,7,1,1,4
8,1,1,1,5
8,2,1,1,6
9,1,1,1,5
9,2,1,1,6
9,3,1,1,5
9,4,1,1,6
9,5,1,1,5
9,6,1,1,5
9,7,1,1,5
10,6,1,1,5
11,2,1,1,6
11,5,1,1,5
11,6,1,1,5
12,2,1,1,5
12,4,1,1,4
12,6,1,1,4
13,2,1,1,6
13,3,1,1,6
13,5,1,1,4
14,2,1,1,4
14,4,1,1,5
15,2,1,1,4
10,2,1,1,5
